======================================== ==========
Intrinsic Function                       Parameters
======================================== ==========
`FUNCTION ABS`_                          1
`FUNCTION ACOS`_                         1
`FUNCTION ANNUITY`_                      2
`FUNCTION ASIN`_                         1
`FUNCTION ATAN`_                         1
`FUNCTION BOOLEAN-OF-INTEGER`_           2
`FUNCTION BYTE-LENGTH`_                  1
`FUNCTION CHAR`_                         1
`FUNCTION CHAR-NATIONAL`_                1
`FUNCTION COMBINED-DATETIME`_            2
`FUNCTION CONCATENATE`_                  Variable
`FUNCTION CONTENT-LENGTH`_               1
`FUNCTION CONTENT-OF`_                   1-or-2
`FUNCTION COS`_                          1
`FUNCTION CURRENCY-SYMBOL`_              0
`FUNCTION CURRENT-DATE`_                 0
`FUNCTION DATE-OF-INTEGER`_              1
`FUNCTION DATE-TO-YYYYMMDD`_             Variable
`FUNCTION DAY-OF-INTEGER`_               1
`FUNCTION DAY-TO-YYYYDDD`_               Variable
`FUNCTION DISPLAY-OF`_                   Variable
`FUNCTION E`_                            0
`FUNCTION EXCEPTION-FILE`_               0
`FUNCTION EXCEPTION-FILE-N`_             0
`FUNCTION EXCEPTION-LOCATION`_           0
`FUNCTION EXCEPTION-LOCATION-N`_         0
`FUNCTION EXCEPTION-STATEMENT`_          0
`FUNCTION EXCEPTION-STATUS`_             0
`FUNCTION EXP`_                          1
`FUNCTION EXP10`_                        1
`FUNCTION FACTORIAL`_                    1
`FUNCTION FORMATTED-CURRENT-DATE`_       1
`FUNCTION FORMATTED-DATE`_               2
`FUNCTION FORMATTED-DATETIME`_           Variable
`FUNCTION FORMATTED-TIME`_               Variable
`FUNCTION FRACTION-PART`_                1
`FUNCTION HIGHEST-ALGEBRAIC`_            1
`FUNCTION INTEGER`_                      1
`FUNCTION INTEGER-OF-BOOLEAN`_           1
`FUNCTION INTEGER-OF-DATE`_              1
`FUNCTION INTEGER-OF-DAY`_               1
`FUNCTION INTEGER-OF-FORMATTED-DATE`_    2
`FUNCTION INTEGER-PART`_                 1
`FUNCTION LENGTH`_                       1
`FUNCTION LENGTH-AN`_                    1
`FUNCTION LOCALE-COMPARE`_               Variable
`FUNCTION LOCALE-DATE`_                  2
`FUNCTION LOCALE-TIME`_                  2
`FUNCTION LOCALE-TIME-FROM-SECONDS`_     2
`FUNCTION LOG`_                          1
`FUNCTION LOG10`_                        1
`FUNCTION LOWER-CASE`_                   1
`FUNCTION LOWEST-ALGEBRAIC`_             1
`FUNCTION MAX`_                          Variable
`FUNCTION MEAN`_                         Variable
`FUNCTION MEDIAN`_                       Variable
`FUNCTION MIDRANGE`_                     Variable
`FUNCTION MIN`_                          Variable
`FUNCTION MOD`_                          2
`FUNCTION MODULE-CALLER-ID`_             0
`FUNCTION MODULE-DATE`_                  0
`FUNCTION MODULE-FORMATTED-DATE`_        0
`FUNCTION MODULE-ID`_                    0
`FUNCTION MODULE-PATH`_                  0
`FUNCTION MODULE-SOURCE`_                0
`FUNCTION MODULE-TIME`_                  0
`FUNCTION MONETARY-DECIMAL-POINT`_       0
`FUNCTION MONETARY-THOUSANDS-SEPARATOR`_ 0
`FUNCTION NATIONAL-OF`_                  Variable
`FUNCTION NUMERIC-DECIMAL-POINT`_        0
`FUNCTION NUMERIC-THOUSANDS-SEPARATOR`_  0
`FUNCTION NUMVAL`_                       1
`FUNCTION NUMVAL-C`_                     2
`FUNCTION NUMVAL-F`_                     1
`FUNCTION ORD`_                          1
`FUNCTION ORD-MAX`_                      Variable
`FUNCTION ORD-MIN`_                      Variable
`FUNCTION PI`_                           0
`FUNCTION PRESENT-VALUE`_                Variable
`FUNCTION PYTHON`_                       Variable
`FUNCTION RANDOM`_                       Variable
`FUNCTION RANGE`_                        Variable
`FUNCTION REM`_                          2
`FUNCTION REVERSE`_                      1
`FUNCTION REXX`_                         Variable
`FUNCTION REXX-UNRESTRICTED`_            Variable
`FUNCTION SECONDS-FROM-FORMATTED-TIME`_  2
`FUNCTION SECONDS-PAST-MIDNIGHT`_        0
`FUNCTION SIGN`_                         1
`FUNCTION SIN`_                          1
`FUNCTION SQRT`_                         1
`FUNCTION STANDARD-COMPARE`_             Variable
`FUNCTION STANDARD-DEVIATION`_           Variable
`FUNCTION STORED-CHAR-LENGTH`_           1
`FUNCTION SUBSTITUTE`_                   Variable
`FUNCTION SUBSTITUTE-CASE`_              Variable
`FUNCTION SUM`_                          Variable
`FUNCTION TAN`_                          1
`FUNCTION TEST-DATE-YYYYMMDD`_           1
`FUNCTION TEST-DAY-YYYYDDD`_             1
`FUNCTION TEST-FORMATTED-DATETIME`_      2
`FUNCTION TEST-NUMVAL`_                  1
`FUNCTION TEST-NUMVAL-C`_                2
`FUNCTION TEST-NUMVAL-F`_                1
`FUNCTION TRIM`_                         2
`FUNCTION UPPER-CASE`_                   1
`FUNCTION VARIANCE`_                     Variable
`FUNCTION WHEN-COMPILED`_                0
`FUNCTION YEAR-TO-YYYY`_                 Variable
======================================== ==========
